; Sample description file
; Organism: Saccharomyces cerevisiae
; Experiment type: ChIP-seq
;
ID	Condition	ENA_experiment	Scan Name
GSM521934	input	SRX021359	SRR051929
GSM521935	chip	SRX021358	SRR051930





